track	list_id	go_id	namespace	n_genes	ic	ic_bin	category	name
mammal	SYN_GO0003382	GO:0003382	biological_process	43	8.221	deep	specific	epithelial cell morphogenesis
mammal	SYN_GO0043491	GO:0043491	biological_process	41	8.290	deep	specific	phosphatidylinositol 3-kinase/protein kinase B signal transduction
mammal	SYN_GO1904375	GO:1904375	biological_process	60	7.740	deep	other	regulation of protein localization to cell periphery
mammal	SYN_GO0015748	GO:0015748	biological_process	56	7.840	deep	other	organophosphate ester transport
mammal	SYN_GO0042130	GO:0042130	biological_process	54	7.892	deep	other	negative regulation of T cell proliferation
mammal	SYN_GO0001906	GO:0001906	biological_process	51	7.975	deep	other	cell killing
mammal	SYN_GO0006282	GO:0006282	biological_process	48	8.062	deep	other	regulation of DNA repair
mammal	SYN_GO0031032	GO:0031032	biological_process	45	8.155	deep	other	actomyosin structure organization
mammal	SYN_GO0045682	GO:0045682	biological_process	43	8.221	deep	other	regulation of epidermis development
mammal	SYN_GO0032481	GO:0032481	biological_process	41	8.290	deep	other	positive regulation of type I interferon production
mammal	SYN_GO0046873	GO:0046873	molecular_function	247	5.699	shallow	other	metal ion transmembrane transporter activity
mammal	SYN_GO0030545	GO:0030545	molecular_function	192	6.062	shallow	other	signaling receptor regulator activity
mammal	SYN_GO0019901	GO:0019901	molecular_function	179	6.163	shallow	other	protein kinase binding
mammal	SYN_GO0042578	GO:0042578	molecular_function	168	6.255	shallow	other	phosphoric ester hydrolase activity
mammal	SYN_GO0019787	GO:0019787	molecular_function	158	6.343	shallow	other	ubiquitin-like protein transferase activity
mammal	SYN_GO0016818	GO:0016818	molecular_function	134	6.581	shallow	other	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
mammal	SYN_GO1901265	GO:1901265	molecular_function	125	6.681	shallow	other	nucleoside phosphate binding
mammal	SYN_GO0003779	GO:0003779	molecular_function	113	6.827	shallow	other	actin binding
mammal	SYN_GO0032555	GO:0032555	molecular_function	99	7.018	mid	other	purine ribonucleotide binding
mammal	SYN_GO0003729	GO:0003729	molecular_function	93	7.108	mid	other	mRNA binding
mammal	SYN_GO0016829	GO:0016829	molecular_function	85	7.238	mid	other	lyase activity
mammal	SYN_GO0003713	GO:0003713	molecular_function	80	7.325	mid	other	transcription coactivator activity
mammal	SYN_GO0003735	GO:0003735	molecular_function	77	7.380	mid	other	structural constituent of ribosome
mammal	SYN_GO0015079	GO:0015079	molecular_function	71	7.497	mid	other	potassium ion transmembrane transporter activity
mammal	SYN_GO0051020	GO:0051020	molecular_function	67	7.581	mid	other	GTPase binding
mammal	SYN_GO0005539	GO:0005539	molecular_function	64	7.647	mid	other	glycosaminoglycan binding
mammal	SYN_GO0016810	GO:0016810	molecular_function	59	7.764	deep	other	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
mammal	SYN_GO0008234	GO:0008234	molecular_function	56	7.840	deep	other	cysteine-type peptidase activity
mammal	SYN_GO0046982	GO:0046982	molecular_function	53	7.919	deep	other	protein heterodimerization activity
mammal	SYN_GO0141108	GO:0141108	molecular_function	49	8.032	deep	other	transporter regulator activity
mammal	SYN_GO0016782	GO:0016782	molecular_function	47	8.092	deep	other	transferase activity, transferring sulphur-containing groups
mammal	SYN_GO0044325	GO:0044325	molecular_function	45	8.155	deep	other	transmembrane transporter binding
mammal	SYN_GO0051213	GO:0051213	molecular_function	43	8.221	deep	other	dioxygenase activity
mammal	SYN_GO0000287	GO:0000287	molecular_function	41	8.290	deep	other	magnesium ion binding
mammal	SYN_GO0032279	GO:0032279	cellular_component	250	5.681	shallow	other	asymmetric synapse
mammal	SYN_GO0014069	GO:0014069	cellular_component	236	5.764	shallow	other	postsynaptic density
mammal	SYN_GO1990234	GO:1990234	cellular_component	220	5.866	shallow	other	transferase complex
mammal	SYN_GO0036126	GO:0036126	cellular_component	195	6.040	shallow	other	sperm flagellum
mammal	SYN_GO0035770	GO:0035770	cellular_component	152	6.399	shallow	other	ribonucleoprotein granule
mammal	SYN_GO0150034	GO:0150034	cellular_component	135	6.570	shallow	other	distal axon
mammal	SYN_GO0005813	GO:0005813	cellular_component	125	6.681	shallow	other	centrosome
mammal	SYN_GO0043235	GO:0043235	cellular_component	120	6.740	shallow	other	signaling receptor complex
mammal	SYN_GO0098685	GO:0098685	cellular_component	109	6.879	mid	other	Schaffer collateral - CA1 synapse
mammal	SYN_GO0097733	GO:0097733	cellular_component	96	7.062	mid	other	photoreceptor cell cilium
mammal	SYN_GO0005770	GO:0005770	cellular_component	90	7.155	mid	other	late endosome
mammal	SYN_GO0000775	GO:0000775	cellular_component	85	7.238	mid	other	chromosome, centromeric region
mammal	SYN_GO0005765	GO:0005765	cellular_component	79	7.343	mid	other	lysosomal membrane
mammal	SYN_GO0043296	GO:0043296	cellular_component	72	7.477	mid	other	apical junction complex
mammal	SYN_GO0031594	GO:0031594	cellular_component	69	7.539	mid	other	neuromuscular junction
mammal	SYN_GO0000792	GO:0000792	cellular_component	66	7.603	mid	other	heterochromatin
mammal	SYN_GO0048786	GO:0048786	cellular_component	62	7.693	deep	other	presynaptic active zone
mammal	SYN_GO0001917	GO:0001917	cellular_component	57	7.814	deep	other	photoreceptor inner segment
mammal	SYN_GO0030863	GO:0030863	cellular_component	53	7.919	deep	other	cortical cytoskeleton
mammal	SYN_GO0022625	GO:0022625	cellular_component	51	7.975	deep	other	cytosolic large ribosomal subunit
mammal	SYN_GO0030135	GO:0030135	cellular_component	49	8.032	deep	other	coated vesicle
mammal	SYN_GO0045111	GO:0045111	cellular_component	46	8.124	deep	other	intermediate filament cytoskeleton
mammal	SYN_GO0097225	GO:0097225	cellular_component	43	8.221	deep	other	sperm midpiece
mammal	SYN_GO0031461	GO:0031461	cellular_component	41	8.290	deep	other	cullin-RING ubiquitin ligase complex
fish	SYN_GO0044238	GO:0044238	biological_process	236	3.957	shallow	conserved	primary metabolic process
fish	SYN_GO0043170	GO:0043170	biological_process	178	4.364	shallow	conserved	macromolecule metabolic process
fish	SYN_GO0009058	GO:0009058	biological_process	146	4.650	shallow	conserved	biosynthetic process
fish	SYN_GO0009059	GO:0009059	biological_process	109	5.072	shallow	conserved	macromolecule biosynthetic process
fish	SYN_GO0006139	GO:0006139	biological_process	100	5.196	shallow	conserved	nucleobase-containing compound metabolic process
fish	SYN_GO0001568	GO:0001568	biological_process	236	3.957	shallow	specific	blood vessel development
fish	SYN_GO0090596	GO:0090596	biological_process	203	4.175	shallow	specific	sensory organ morphogenesis
fish	SYN_GO0000902	GO:0000902	biological_process	186	4.301	shallow	specific	cell morphogenesis
fish	SYN_GO0048871	GO:0048871	biological_process	158	4.536	shallow	specific	multicellular organismal-level homeostasis
fish	SYN_GO0048705	GO:0048705	biological_process	150	4.611	shallow	specific	skeletal system morphogenesis
fish	SYN_GO0007369	GO:0007369	biological_process	143	4.680	shallow	specific	gastrulation
fish	SYN_GO0007626	GO:0007626	biological_process	131	4.807	shallow	specific	locomotory behavior
fish	SYN_GO0055001	GO:0055001	biological_process	120	4.933	shallow	specific	muscle cell development
fish	SYN_GO0023051	GO:0023051	biological_process	244	3.909	shallow	other	regulation of signaling
fish	SYN_GO0009889	GO:0009889	biological_process	225	4.026	shallow	other	regulation of biosynthetic process
fish	SYN_GO0016477	GO:0016477	biological_process	212	4.112	shallow	other	cell migration
fish	SYN_GO0009605	GO:0009605	biological_process	193	4.247	shallow	other	response to external stimulus
fish	SYN_GO0042221	GO:0042221	biological_process	170	4.431	shallow	other	response to chemical
fish	SYN_GO0060271	GO:0060271	biological_process	145	4.660	shallow	other	cilium assembly
fish	SYN_GO0044419	GO:0044419	biological_process	124	4.886	shallow	other	biological process involved in interspecies interaction between organisms
fish	SYN_GO0006355	GO:0006355	biological_process	115	4.995	shallow	other	regulation of DNA-templated transcription
fish	SYN_GO0019538	GO:0019538	biological_process	87	5.397	mid	conserved	protein metabolic process
fish	SYN_GO0090304	GO:0090304	biological_process	86	5.414	mid	conserved	nucleic acid metabolic process
fish	SYN_GO0010467	GO:0010467	biological_process	77	5.573	mid	conserved	gene expression
fish	SYN_GO0016070	GO:0016070	biological_process	73	5.650	mid	conserved	RNA metabolic process
fish	SYN_GO0034654	GO:0034654	biological_process	64	5.840	mid	conserved	nucleobase-containing compound biosynthetic process
fish	SYN_GO0032774	GO:0032774	biological_process	61	5.909	mid	conserved	RNA biosynthetic process
fish	SYN_GO0141187	GO:0141187	biological_process	61	5.909	mid	conserved	nucleic acid biosynthetic process
fish	SYN_GO0048872	GO:0048872	biological_process	93	5.301	mid	specific	homeostasis of number of cells
fish	SYN_GO0051216	GO:0051216	biological_process	91	5.332	mid	specific	cartilage development
fish	SYN_GO0048882	GO:0048882	biological_process	85	5.431	mid	specific	lateral line development
fish	SYN_GO0001947	GO:0001947	biological_process	80	5.518	mid	specific	heart looping
fish	SYN_GO0046530	GO:0046530	biological_process	73	5.650	mid	specific	photoreceptor cell differentiation
fish	SYN_GO0030218	GO:0030218	biological_process	70	5.711	mid	specific	erythrocyte differentiation
fish	SYN_GO0048609	GO:0048609	biological_process	65	5.818	mid	specific	multicellular organismal reproductive process
fish	SYN_GO0035162	GO:0035162	biological_process	61	5.909	mid	specific	embryonic hemopoiesis
fish	SYN_GO0060284	GO:0060284	biological_process	98	5.225	mid	other	regulation of cell development
fish	SYN_GO0070887	GO:0070887	biological_process	87	5.397	mid	other	cellular response to chemical stimulus
fish	SYN_GO0043067	GO:0043067	biological_process	78	5.555	mid	other	regulation of programmed cell death
fish	SYN_GO0008283	GO:0008283	biological_process	77	5.573	mid	other	cell population proliferation
fish	SYN_GO0030029	GO:0030029	biological_process	69	5.731	mid	other	actin filament-based process
fish	SYN_GO0030036	GO:0030036	biological_process	68	5.753	mid	other	actin cytoskeleton organization
fish	SYN_GO0023056	GO:0023056	biological_process	65	5.818	mid	other	positive regulation of signaling
fish	SYN_GO0033036	GO:0033036	biological_process	62	5.886	mid	other	macromolecule localization
fish	SYN_GO0007049	GO:0007049	biological_process	51	6.168	deep	conserved	cell cycle
fish	SYN_GO0009056	GO:0009056	biological_process	51	6.168	deep	conserved	catabolic process
fish	SYN_GO0044281	GO:0044281	biological_process	45	6.348	deep	conserved	small molecule metabolic process
fish	SYN_GO0006629	GO:0006629	biological_process	44	6.381	deep	conserved	lipid metabolic process
fish	SYN_GO0022402	GO:0022402	biological_process	41	6.482	deep	conserved	cell cycle process
fish	SYN_GO0006396	GO:0006396	biological_process	41	6.482	deep	conserved	RNA processing
fish	SYN_GO0048881	GO:0048881	biological_process	58	5.982	deep	specific	mechanosensory lateral line system development
fish	SYN_GO0001756	GO:0001756	biological_process	56	6.033	deep	specific	somitogenesis
fish	SYN_GO0035107	GO:0035107	biological_process	52	6.140	deep	specific	appendage morphogenesis
fish	SYN_GO0007600	GO:0007600	biological_process	47	6.285	deep	specific	sensory perception
fish	SYN_GO0070121	GO:0070121	biological_process	46	6.316	deep	specific	Kupffer's vesicle development
fish	SYN_GO0002521	GO:0002521	biological_process	45	6.348	deep	specific	leukocyte differentiation
fish	SYN_GO0001775	GO:0001775	biological_process	43	6.414	deep	specific	cell activation
fish	SYN_GO0048483	GO:0048483	biological_process	41	6.482	deep	specific	autonomic nervous system development
fish	SYN_GO0090287	GO:0090287	biological_process	58	5.982	deep	other	regulation of cellular response to growth factor stimulus
fish	SYN_GO0051640	GO:0051640	biological_process	53	6.112	deep	other	organelle localization
fish	SYN_GO0090497	GO:0090497	biological_process	51	6.168	deep	other	mesenchymal cell migration
fish	SYN_GO0040008	GO:0040008	biological_process	49	6.225	deep	other	regulation of growth
fish	SYN_GO0003341	GO:0003341	biological_process	48	6.255	deep	other	cilium movement
fish	SYN_GO0033993	GO:0033993	biological_process	45	6.348	deep	other	response to lipid
fish	SYN_GO0006811	GO:0006811	biological_process	43	6.414	deep	other	monoatomic ion transport
fish	SYN_GO1902679	GO:1902679	biological_process	42	6.448	deep	other	negative regulation of RNA biosynthetic process
fish	SYN_GO0003824	GO:0003824	molecular_function	237	3.951	shallow	other	catalytic activity
fish	SYN_GO0003676	GO:0003676	molecular_function	127	4.851	shallow	other	nucleic acid binding
fish	SYN_GO0016740	GO:0016740	molecular_function	105	5.126	shallow	other	transferase activity
fish	SYN_GO0005215	GO:0005215	molecular_function	101	5.182	shallow	other	transporter activity
fish	SYN_GO0022857	GO:0022857	molecular_function	99	5.211	shallow	other	transmembrane transporter activity
fish	SYN_GO0003677	GO:0003677	molecular_function	96	5.255	shallow	other	DNA binding
fish	SYN_GO0038023	GO:0038023	molecular_function	93	5.301	shallow	other	signaling receptor activity
fish	SYN_GO0060089	GO:0060089	molecular_function	93	5.301	shallow	other	molecular transducer activity
fish	SYN_GO0140110	GO:0140110	molecular_function	78	5.555	mid	other	transcription regulator activity
fish	SYN_GO0140096	GO:0140096	molecular_function	77	5.573	mid	other	catalytic activity, acting on a protein
fish	SYN_GO0043565	GO:0043565	molecular_function	72	5.670	mid	other	sequence-specific DNA binding
fish	SYN_GO0003700	GO:0003700	molecular_function	72	5.670	mid	other	DNA-binding transcription factor activity
fish	SYN_GO0004888	GO:0004888	molecular_function	71	5.690	mid	other	transmembrane signaling receptor activity
fish	SYN_GO0016787	GO:0016787	molecular_function	68	5.753	mid	other	hydrolase activity
fish	SYN_GO0015075	GO:0015075	molecular_function	67	5.774	mid	other	monoatomic ion transmembrane transporter activity
fish	SYN_GO0036094	GO:0036094	molecular_function	60	5.933	mid	other	small molecule binding
fish	SYN_GO0022803	GO:0022803	molecular_function	59	5.957	deep	other	passive transmembrane transporter activity
fish	SYN_GO0015267	GO:0015267	molecular_function	59	5.957	deep	other	channel activity
fish	SYN_GO0004930	GO:0004930	molecular_function	56	6.033	deep	other	G protein-coupled receptor activity
fish	SYN_GO0005216	GO:0005216	molecular_function	51	6.168	deep	other	monoatomic ion channel activity
fish	SYN_GO0008324	GO:0008324	molecular_function	48	6.255	deep	other	monoatomic cation transmembrane transporter activity
fish	SYN_GO0022836	GO:0022836	molecular_function	45	6.348	deep	other	gated channel activity
fish	SYN_GO0043167	GO:0043167	molecular_function	44	6.381	deep	other	ion binding
fish	SYN_GO0000981	GO:0000981	molecular_function	44	6.381	deep	other	DNA-binding transcription factor activity, RNA polymerase II-specific
fish	SYN_GO0043227	GO:0043227	cellular_component	236	3.957	shallow	other	membrane-bounded organelle
fish	SYN_GO0005737	GO:0005737	cellular_component	220	4.059	shallow	other	cytoplasm
fish	SYN_GO0043231	GO:0043231	cellular_component	191	4.263	shallow	other	intracellular membrane-bounded organelle
fish	SYN_GO0016020	GO:0016020	cellular_component	168	4.448	shallow	other	membrane
fish	SYN_GO0071944	GO:0071944	cellular_component	137	4.742	shallow	other	cell periphery
fish	SYN_GO0005886	GO:0005886	cellular_component	134	4.774	mid	other	plasma membrane
fish	SYN_GO0005634	GO:0005634	cellular_component	124	4.886	mid	other	nucleus
fish	SYN_GO0043228	GO:0043228	cellular_component	96	5.255	mid	other	membraneless organelle
fish	SYN_GO0043232	GO:0043232	cellular_component	96	5.255	mid	other	intracellular membraneless organelle
fish	SYN_GO0032991	GO:0032991	cellular_component	70	5.711	mid	other	protein-containing complex
fish	SYN_GO0042995	GO:0042995	cellular_component	57	6.007	deep	other	cell projection
fish	SYN_GO0120025	GO:0120025	cellular_component	57	6.007	deep	other	plasma membrane bounded cell projection
fish	SYN_GO0005929	GO:0005929	cellular_component	47	6.285	deep	other	cilium
fish	SYN_GO0012505	GO:0012505	cellular_component	47	6.285	deep	other	endomembrane system
fish	SYN_GO0005856	GO:0005856	cellular_component	40	6.518	deep	other	cytoskeleton
insect	SYN_GO0141187	GO:0141187	biological_process	245	4.675	shallow	conserved	nucleic acid biosynthetic process
insect	SYN_GO0032774	GO:0032774	biological_process	222	4.817	shallow	conserved	RNA biosynthetic process
insect	SYN_GO0044281	GO:0044281	biological_process	189	5.049	shallow	conserved	small molecule metabolic process
insect	SYN_GO1903047	GO:1903047	biological_process	187	5.065	shallow	conserved	mitotic cell cycle process
insect	SYN_GO0009057	GO:0009057	biological_process	178	5.136	shallow	conserved	macromolecule catabolic process
insect	SYN_GO0006259	GO:0006259	biological_process	151	5.373	shallow	conserved	DNA metabolic process
insect	SYN_GO0006396	GO:0006396	biological_process	149	5.392	shallow	conserved	RNA processing
insect	SYN_GO1901135	GO:1901135	biological_process	143	5.452	shallow	conserved	carbohydrate derivative metabolic process
insect	SYN_GO0007424	GO:0007424	biological_process	249	4.652	shallow	specific	open tracheal system development
insect	SYN_GO0097485	GO:0097485	biological_process	208	4.911	shallow	specific	neuron projection guidance
insect	SYN_GO0001751	GO:0001751	biological_process	168	5.219	shallow	specific	compound eye photoreceptor cell differentiation
insect	SYN_GO0007611	GO:0007611	biological_process	153	5.354	shallow	specific	learning or memory
insect	SYN_GO0010631	GO:0010631	biological_process	139	5.492	shallow	specific	epithelial cell migration
insect	SYN_GO0048871	GO:0048871	biological_process	129	5.600	shallow	specific	multicellular organismal-level homeostasis
insect	SYN_GO0048732	GO:0048732	biological_process	117	5.741	shallow	specific	gland development
insect	SYN_GO0050906	GO:0050906	biological_process	107	5.870	shallow	specific	detection of stimulus involved in sensory perception
insect	SYN_GO0016192	GO:0016192	biological_process	249	4.652	shallow	other	vesicle-mediated transport
insect	SYN_GO0034330	GO:0034330	biological_process	214	4.870	shallow	other	cell junction organization
insect	SYN_GO0090066	GO:0090066	biological_process	187	5.065	shallow	other	regulation of anatomical structure size
insect	SYN_GO0043067	GO:0043067	biological_process	166	5.236	shallow	other	regulation of programmed cell death
insect	SYN_GO0045088	GO:0045088	biological_process	139	5.492	shallow	other	regulation of innate immune response
insect	SYN_GO0032989	GO:0032989	biological_process	128	5.612	shallow	other	cellular anatomical entity morphogenesis
insect	SYN_GO0009416	GO:0009416	biological_process	117	5.741	shallow	other	response to light stimulus
insect	SYN_GO0045597	GO:0045597	biological_process	106	5.884	shallow	other	positive regulation of cell differentiation
insect	SYN_GO0030163	GO:0030163	biological_process	97	6.012	mid	conserved	protein catabolic process
insect	SYN_GO0019752	GO:0019752	biological_process	87	6.168	mid	conserved	carboxylic acid metabolic process
insect	SYN_GO0006351	GO:0006351	biological_process	83	6.236	mid	conserved	DNA-templated transcription
insect	SYN_GO0034655	GO:0034655	biological_process	79	6.308	mid	conserved	nucleobase-containing compound catabolic process
insect	SYN_GO0061640	GO:0061640	biological_process	75	6.383	mid	conserved	cytoskeleton-dependent cytokinesis
insect	SYN_GO0140014	GO:0140014	biological_process	70	6.482	mid	conserved	mitotic nuclear division
insect	SYN_GO0045333	GO:0045333	biological_process	67	6.545	mid	conserved	cellular respiration
insect	SYN_GO0006281	GO:0006281	biological_process	64	6.612	mid	conserved	DNA repair
insect	SYN_GO0042461	GO:0042461	biological_process	97	6.012	mid	specific	photoreceptor cell development
insect	SYN_GO0035218	GO:0035218	biological_process	90	6.120	mid	specific	leg disc development
insect	SYN_GO0050907	GO:0050907	biological_process	83	6.236	mid	specific	detection of chemical stimulus involved in sensory perception
insect	SYN_GO0042051	GO:0042051	biological_process	79	6.308	mid	specific	compound eye photoreceptor development
insect	SYN_GO0048608	GO:0048608	biological_process	74	6.402	mid	specific	reproductive structure development
insect	SYN_GO0007635	GO:0007635	biological_process	71	6.462	mid	specific	chemosensory behavior
insect	SYN_GO0048512	GO:0048512	biological_process	67	6.545	mid	specific	circadian behavior
insect	SYN_GO0007435	GO:0007435	biological_process	63	6.634	mid	specific	salivary gland morphogenesis
insect	SYN_GO1901701	GO:1901701	biological_process	98	5.997	mid	other	cellular response to oxygen-containing compound
insect	SYN_GO0051656	GO:0051656	biological_process	90	6.120	mid	other	establishment of organelle localization
insect	SYN_GO0042060	GO:0042060	biological_process	85	6.202	mid	other	wound healing
insect	SYN_GO0002920	GO:0002920	biological_process	80	6.290	mid	other	regulation of humoral immune response
insect	SYN_GO0016050	GO:0016050	biological_process	77	6.345	mid	other	vesicle organization
insect	SYN_GO0055080	GO:0055080	biological_process	71	6.462	mid	other	monoatomic cation homeostasis
insect	SYN_GO0071705	GO:0071705	biological_process	67	6.545	mid	other	nitrogen compound transport
insect	SYN_GO0001558	GO:0001558	biological_process	64	6.612	mid	other	regulation of cell growth
insect	SYN_GO0007098	GO:0007098	biological_process	59	6.729	deep	conserved	centrosome cycle
insect	SYN_GO0018958	GO:0018958	biological_process	57	6.779	deep	conserved	phenol-containing compound metabolic process
insect	SYN_GO0044282	GO:0044282	biological_process	53	6.884	deep	conserved	small molecule catabolic process
insect	SYN_GO0006790	GO:0006790	biological_process	51	6.939	deep	conserved	sulfur compound metabolic process
insect	SYN_GO0022900	GO:0022900	biological_process	47	7.057	deep	conserved	electron transport chain
insect	SYN_GO0042775	GO:0042775	biological_process	44	7.152	deep	conserved	mitochondrial ATP synthesis coupled electron transport
insect	SYN_GO0006119	GO:0006119	biological_process	44	7.152	deep	conserved	oxidative phosphorylation
insect	SYN_GO0006261	GO:0006261	biological_process	43	7.185	deep	conserved	DNA-templated DNA replication
insect	SYN_GO0001763	GO:0001763	biological_process	59	6.729	deep	specific	morphogenesis of a branching structure
insect	SYN_GO0050911	GO:0050911	biological_process	57	6.779	deep	specific	detection of chemical stimulus involved in sensory perception of smell
insect	SYN_GO0006959	GO:0006959	biological_process	53	6.884	deep	specific	humoral immune response
insect	SYN_GO0008587	GO:0008587	biological_process	49	6.997	deep	specific	imaginal disc-derived wing margin morphogenesis
insect	SYN_GO0045137	GO:0045137	biological_process	47	7.057	deep	specific	development of primary sexual characteristics
insect	SYN_GO0035148	GO:0035148	biological_process	45	7.120	deep	specific	tube formation
